"year","post","category","cutoff","candidates"
"2019 ","LDC/JSA","UR","159.52 ","8,321 "
"2019 ","LDC/JSA","SC","136.10 ","7,566 "
"2019 ","LDC/JSA","ST","127.32 ","3,557 "
"2019 ","LDC/JSA","OBC","156.10 ","12,380 "
"2019 ","LDC/JSA","EWS","149.98 ","7,074 "
"2019 ","PA/SA","UR","159.52 ","8,321 "
"2019 ","PA/SA","SC","136.10 ","7,566 "
"2019 ","PA/SA","ST","127.32 ","3,557 "
"2019 ","PA/SA","OBC","156.10 ","12,380 "
"2019 ","PA/SA","EWS","149.98 ","7,074 "
"2019 ","DEO","UR","159.52 ","8,321 "
"2019 ","DEO","SC","136.10 ","7,566 "
"2019 ","DEO","ST","127.32 ","3,557 "
"2019 ","DEO","OBC","156.10 ","12,380 "
"2019 ","DEO","EWS","149.98 ","7,074 "
"2020 ","LDC/JSA","UR","153.91 ","8,118 "
"2020 ","LDC/JSA","SC","136.55 ","8,696 "
"2020 ","LDC/JSA","ST","124.52 ","3,493 "
"2020 ","LDC/JSA","OBC","152.63 ","10,909 "
"2020 ","LDC/JSA","EWS","151.02 ","8,302 "
"2020 ","PA/SA","UR","153.91 ","8,118 "
"2020 ","PA/SA","SC","136.55 ","8,696 "
"2020 ","PA/SA","ST","124.52 ","3,493 "
"2020 ","PA/SA","OBC","152.63 ","10,909 "
"2020 ","PA/SA","EWS","151.02 ","8,302 "
"2020 ","DEO","UR","153.91 ","8,118 "
"2020 ","DEO","SC","136.55 ","8,696 "
"2020 ","DEO","ST","124.52 ","3,493 "
"2020 ","DEO","OBC","152.63 ","10,909 "
"2020 ","DEO","EWS","151.02 ","8,302 "
"2021 ","LDC/JSA","UR","0.00 ","0 "
"2021 ","LDC/JSA","SC","0.00 ","0 "
"2021 ","LDC/JSA","ST","0.00 ","0 "
"2021 ","LDC/JSA","OBC","0.00 ","0 "
"2021 ","LDC/JSA","EWS","0.00 ","0 "
"2021 ","PA/SA","UR","0.00 ","0 "
"2021 ","PA/SA","SC","0.00 ","0 "
"2021 ","PA/SA","ST","0.00 ","0 "
"2021 ","PA/SA","OBC","0.00 ","0 "
"2021 ","PA/SA","EWS","0.00 ","0 "
"2021 ","DEO","UR","0.00 ","0 "
"2021 ","DEO","SC","0.00 ","0 "
"2021 ","DEO","ST","0.00 ","0 "
"2021 ","DEO","OBC","0.00 ","0 "
"2021 ","DEO","EWS","0.00 ","0 "
"2022 ","LDC/JSA","UR","140.18 ","5,496 "
"2022 ","LDC/JSA","SC","112.86 ","7,414 "
"2022 ","LDC/JSA","ST","104.78 ","3,189 "
"2022 ","LDC/JSA","OBC","140.12 ","12,960 "
"2022 ","LDC/JSA","EWS","131.41 ","7,132 "
"2022 ","PA/SA","UR","140.18 ","5,496 "
"2022 ","PA/SA","SC","112.86 ","7,414 "
"2022 ","PA/SA","ST","104.78 ","3,189 "
"2022 ","PA/SA","OBC","140.12 ","12,960 "
"2022 ","PA/SA","EWS","131.41 ","7,132 "
"2022 ","DEO","UR","140.18 ","5,496 "
"2022 ","DEO","SC","112.86 ","7,414 "
"2022 ","DEO","ST","104.78 ","3,189 "
"2022 ","DEO","OBC","140.12 ","12,960 "
"2022 ","DEO","EWS","131.41 ","7,132 "
"2023 ","LDC/JSA","UR","153.91 ","2,890 "
"2023 ","LDC/JSA","SC","136.41 ","3,290 "
"2023 ","LDC/JSA","ST","124.53 ","1,450 "
"2023 ","LDC/JSA","OBC","152.27 ","5,405 "
"2023 ","LDC/JSA","EWS","151.10 ","2,536 "
"2023 ","PA/SA","UR","153.91 ","2,890 "
"2023 ","PA/SA","SC","136.41 ","3,290 "
"2023 ","PA/SA","ST","124.53 ","1,450 "
"2023 ","PA/SA","OBC","152.27 ","5,405 "
"2023 ","PA/SA","EWS","151.10 ","2,536 "
"2023 ","DEO","UR","169.29 ","323 "
"2023 ","DEO","SC","157.32 ","227 "
"2023 ","DEO","ST","154.58 ","65 "
"2023 ","DEO","OBC","168.78 ","378 "
"2023 ","DEO","EWS","169.29 ","164 "
"2023 ","DEO","UR","169.93 ","342 "
"2023 ","DEO","SC","157.68 ","165 "
"2023 ","DEO","OBC","169.93 ","247 "
